Item,Quantity,Price,Source
PCB + Shipping ,-,4+14.72=18.72,JLCPCB
SK6812 Mini-E RGB , 1 PACK  ,13.19 ,https://www.desertcart.in/products/713547616-50pcs-sk6812-mini-e-rgb-similar-with-ws2812b-sk6812-3228
 Mini SPDT Slide Switch + shipping , Pack of (3) ,1.64 ,https://www.amazon.in/gp/product/B0B434R6QF/ref=ox_sc_act_image_1?smid=A2JDRZEGU1IDE2&psc=1
Keycaps , 2 set of 5  ,2 ,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank/blank-dsa-keycaps-1u/
Hot-swap , 2 Pack of 5, 1.65,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/kailh-hot-swap-socket/?attribute_pa_variations=white
Switch , 1 Pack of 10 , 4.5,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/gateron-optical-switch-pack/?attribute_pa_key-switches=gateron-optical-silent-brown
 Meckeys shipping ,- ,1.1 , meckey.com
 450mAh 3.7V LiPo Battery , , ,
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,
